review,date,stars,name,source
"So so. Usually everything is delivered on time, but over last year I had a few orders that did not show up. Plus with the cost of living in the UK and the price of the delivery fee's its probably best to go and pick what you want in the supermarket, particularly when they don't stock everything via Uber.","Date of experience: January 21, 2024",Rated 3 out of 5 stars,DO,Trust Pilot
"I have ordered a McDonald’s through McDonald’s app and in one of my milkshakes, there was a large piece of plastic wrapping. I tried to complain through McDonald’s app as it is a McDonald’s issue not uber eats and it gave me the number to ring Uber eats which I find bizarre. I’ve tried calling but as of yet and I’m unable to get through to discuss the issue and I have called numerous times. Customer service seems to be non-existent. I won’t be ordering again.","Date of experience: January 19, 2024",Rated 3 out of 5 stars,Joanne Hensleigh,Trust Pilot
"I ordered a vegan burger using Uber eats and was sent the wrong item. When I contacted Uber eats about this, they responded really well and was very helpful, issuing me a refund and apologising for the mix up. Overall very satisfied with how they handled the situation, they provide great services as well as very friendly customer services. I will be using again.","Date of experience: January 16, 2024",Rated 5 out of 5 stars,KB,Trust Pilot
"They keep sending me emails with a promo, let me pick my food, add it to my cart, apply the promo, then I pay and it says they cant apply the promo I picked even though it shows as available. Then they almost immediately send me another email saying dont lose your promo, so I do it all again, only to have the same thing happen. I think it's a scam so people will take the time and effort to order the food and anticipate it, then at the last minute,  the promo fails, so they'll order it anyway at full price. So disappointing they keep luring me in with the promise of a discount. Which They automatically apply- then say it's no good. I have complained before via chat and they basically were like sorry,  not sorry. You'd think I'd learn, but I keep getting sucked in by their emails saying 'hurry- don't lose this deal'.","Date of experience: January 20, 2024",Rated 2 out of 5 stars,Kristi,Trust Pilot
I have been billed 2 items that didn't arrive and I placed order 17:19 it arrived just after 7pm - shocking service - considering shop less than 10 minutes away.,"Date of experience: January 19, 2024",Rated 2 out of 5 stars,EW,Trust Pilot
"I ordered some groceries from Uber Eats. My driver selected a replacement I didn't like. I was notified to approve or refund the item so I hit refund. 2 seconds later somehow the item was approved. I messaged the driver to refund twice. No response. He finally responds after my third message saying he contacted support. He bought the item anyway and then delivered it saying I had to contact support. They told me since I put select best replacement, I am not eligible for refund even though I hit refund and messaged him not to buy it. Never ordering from them again","Date of experience: January 10, 2024",Rated 2 out of 5 stars,BJ,Trust Pilot
Food came cold asked for redund they said no as accoring to uberfuks 20 mins late is ok to them.,"Date of experience: January 12, 2024",Rated 2 out of 5 stars,BL,Trust Pilot
"Distinct lack of contact,Someone has used my card to pay for £56 worth of food on uber eats, i can’t get in contact with anybody to get refunded, no phone numbers provided only ones i can find is £6 per minute to call them! I have now had to cancel and get new cards, changed all my passwords and will most certainly be deleting uber eatsI will be boycotting Uber from now on!","Date of experience: January 21, 2024",Rated 1 out of 5 stars,DA,Trust Pilot
"I placed an order on 21/1/24, using Uber Eats, which arrived late, the food was cold and the drink was damaged, leaving chocolate milk shake dripping everywhere.  I took a photo and tried to send it to Uber eats but the photo would not upload and I therefore could not raise the complaint.  I then tried to find an alternative way of reaching Uber eats and tried several e-mail addresses all of which failed and I can't find a valid telephone number.  It feels like they deliberately don't want people to be able to contact them.  I have now cancelled my account for Uber eats and will not ever recommend this service","Date of experience: January 22, 2024",Rated 1 out of 5 stars,NG,Trust Pilot
"ABSOLUTELY DISGUSTING SERVICE!!!!! DO NOT RECOMMEND TO USE THIS APP!!!! I ordered some food from Mc Donalds Thorne Road retail park, however on the Uber eats app it gave me a delivery time and saying “just wrapping up your order” ohhhhh but then, my order got cancelled by the delivery driver!!!! AND to top it off……they have TAKEN MY MONEY AND WONT ALLOW ME TO GET A REFUND!!!! DISGUSTING SERVICE FROM UBER EATS, THE DELIVERY DRIVER AND MC DONALDS!!! Now I’m going to have to ring the fraud team up and get them involved as you have taken my money, won’t allow me a refund and I’ve got no food in return!!!!!!","Date of experience: January 21, 2024",Rated 1 out of 5 stars,ED,Trust Pilot
"I have ordered McDonald delivery but the food disappeared. I called for ask but your staff Ali Rafique said the delivery agent based on guidelines had attempted to us two times. However we didn’t get any food, text nor call about the delivery. Then we complained to the supervisor and the supervisor turned off our phone! How rude! No food nor refund and get me more angry by turned off my call!!! We have no food for our dinner 🤬🤬🤬","Date of experience: January 21, 2024",Rated 1 out of 5 stars,SL,Trust Pilot
