stars,cleaned_text,sentiment
1,"['lately', 'common', 'wait', 'hour', 'food', 'passed', 'driver', 'one', 'finally', 'cancel', 'world', 'wrong', 'app', 'one', 'driver', 'pass', 'auto', 'cancel', 'otherwise', 'waiting', 'food', 'sure', 'arrive', 'never', 'literally', 'rendering', 'service', 'happens', 'constantly', 'huge', 'problem', 'system', 'need', 'change']",negative
5,"['love', 'great', 'offer', 'good', 'selection', 'food', 'shopping', 'arrive', 'door', 'driver', 'professional', 'courteous', 'complaint', 'service', 'offered', 'time', 'wrong', 'customer', 'service', 'refund', 'happen', 'frequently', 'occur', 'get', 'put', 'right', 'right', 'away', 'happy', 'use', 'app', 'provides', 'heap', 'choice', 'would', 'normally', 'explore', 'thank']",positive
1,"['disappointed', 'app', 'used', 'long', 'time', 'service', 'fee', 'keep', 'increasing', 'sometimes', 'extra', 'small', 'item', 'also', 'adding', 'cart', 'promotion', 'promotion', 'disappears', 'lastly', 'price', 'item', 'often', 'higher', 'store', 'overall', 'cost', 'almost', 'twice', 'much', 'time']",negative
2,"['fairly', 'easy', 'use', 'trying', 'find', 'happening', 'contacting', 'someone', 'terrible', 'driver', 'also', 'seem', 'rarely', 'checked', 'different', 'person', 'turn', 'registered', 'issue', 'driver', 'also', 'pretty', 'rubbish', 'constantly', 'cancel', 'accept', 'leaving', 'waiting', 'age', 'another', 'delivery', 'person', 'food', 'turn', 'cold']",negative
4,"['like', 'fact', 'u', 'ca', 'get', 'refund', 'unless', 'u', 'take', 'picture', 'take', 'second', 'u', 'able', 'rate', 'u', 'go', 'back', 'ur', 'receipt', 'say', 'something', 'wrong', 'food', 'cold', 'able', 'get', 'refund', 'take', 'long', 'load', 'rating', 'stuff', 'able', 'go', 'receipt', 'thinking', 'rating', 'part', 'activate', 'right', 'completed', 'rating', 'able', 'say', 'something', 'missing', 'besides', 'great']",positive
4,"['usually', 'work', 'well', 'use', 'often', 'issue', 'handled', 'without', 'u', 'even', 'contacting', 'support', 'would', 'appreciate', 'wider', 'selection', 'healthy', 'food', 'prime', 'delivery', 'feature', 'pointless', 'promised', 'u', 'delivery', 'min', 'waited', 'longer', 'standard', 'would', 'also', 'suggest', 'feature', 'able', 'modify', 'address', 'placing', 'courier', 'picking', 'currently', 'lose', 'money', 'upon', 'changing', 'address']",positive
2,"['ignoring', 'astronomical', 'tax', 'fee', 'forced', 'update', 'app', 'every', 'time', 'click', 'anything', 'consistent', 'pop', 'asking', 'turn', 'notification', 'every', 'single', 'page', 'also', 'hitting', 'back', 'matter', 'page', 'take', 'back', 'homepage', 'instead', 'previous', 'page', 'extremely', 'annoying', 'make', 'want', 'use', 'app']",negative
1,"['ive', 'absolutely', 'horrible', 'experience', 'app', 'driver', 'taking', 'hour', 'money', 'withdrawn', 'account', 'magically', 'disappearing', 'account', 'contact', 'bank', 'fix', 'top', 'trying', 'find', 'way', 'contact', 'customer', 'support', 'impossible', 'ca', 'even', 'find', 'number', 'call', 'anywhere', 'bother', 'use', 'service', 'app', 'suck', 'could', 'give', 'zero', 'star', 'would']",negative
1,"['give', 'zero', 'could', 'food', 'usually', 'fine', 'restaurant', 'service', 'terrible', 'tried', 'repeatedly', 'delivery', 'consistently', 'issue', 'wrong', 'missing', 'item', 'left', 'wrong', 'house', 'left', 'door', 'without', 'knocking', 'got', 'cold', 'etc', 'resolution', 'always', 'try', 'another', 'time', 'line', 'call', 'help', 'chat', 'cut', 'conversation', 'agree', 'resolution']",negative
1,"['everything', 'run', 'smooth', 'part', 'cancelled', 'something', 'go', 'awry', 'restaurant', 'sends', 'nice', 'saying', 'charged', 'anyways', 'seek', 'support', 'directs', 'page', 'allowed', 'take', 'whole', 'chunk', 'change', 'even', 'though', 'restaurant', 'deliveryperson', 'sorry', 'customer', 'support', 'company', 'salvageable']",negative
