review,name,state,stars,date,source
"My spouse accidentally placed an order on the Uber Eats app and I tried to cancel it immediately. Since there is no option to cancel the order on the app, I had to start the chat with Uber agents. After a few minutes, an agent was connected and they told me since the store has already started preparing the order, the cancellation fee is equal to the totoal amount of the order (243.08$, order# **, date 01/22/2024 at 12:28 pm). More",Aria,"San Diego, CA",1,"January 22, 2024",Consumer Affairs
"Seen a promotion, used the promotion before checking out. They gave me a total of 12.00 including tip to driver. When I proceed to pay they charged me 25 additional dollars and I never got my food. Called to get refund. Was told I couldn't get one.",Aleta,"Columbus, OH",1,"January 22, 2024",Consumer Affairs
"Been on the phone for two hours, been transferred 15 times and then hung up on by a rude guy. They will send you to closed restaurants & blame you. Beware outsourced call centers w no structure. Such a ridiculous process and disrespectful waste of time.",Erica,"Farmington, MI",1,"January 20, 2024",Consumer Affairs
I ordered with my wrong address. I then changed it to my current address and it cancelled my order. They didn't give a refund and it was quite expensive. Why? Stupid policy that makes no sense. Fix your site.,le,"Zionsville, IN",1,"January 20, 2024",Consumer Affairs
I came upon a promotion on Uber Eats to purchase grocery $70+ and get 50% discount. I placed an order and the promotion was applied to my order at checkout. I get the product delivered and I see I was charged full amount. I go online to check the promotion and it is gone. I reach out to customer service via chat and I was told if I cannot produce a picture of the promotion that nothing can be done. A promotion that Uber eats put in app and I am been told if I cannot produce a picture of the promotion I will not get help. How fraudulent a company can you be. You put a promotion and you are asking me for a picture of the promotion you put up yourself. UBER EATS YOU ARE THIEVES!!!,Ijeoma,"Winnipeg, MB",1,"January 19, 2024",Consumer Affairs
"Uber Eats. Ok. I am actually tired of all the wrong orders being received. As the issue should be with the individual merchant this complaint against Uber Eats is because they penalize customers when merchants gets something wrong. To elaborate, recently, Jan 6, 2024 order placed and one item was not received, but rather a completely different item. A picture was taken and sent to UE. 1- Not only did they NOT respond within the 48 hrs but instead, 13 days later!, they said the food was picked up and no refund will be given. First, 13 days later is unacceptable. Second, the order was NEVER picked up. It was delivered. Third, how dare you penalize the customer and let the merchant just get away with getting the order wrong. This is wrong and flat out an unacceptable business model. More",Dorene,"Thousand Oaks, CA",1,"January 19, 2024",Consumer Affairs
"I make many orders from Uber EATS, but in the past few months, when I am missing an item in my order, they are not getting back to me, or it takes weeks to hear something back from their customer service support team in the app. Postmates was the app I used to use. They bought the company. An order was made on January 6, 2024, and they returned to me on January 19, 2024, at 7:00 AM. I ordered with Subway, and one of my items was not delivered. After I didn’t hear back from Uber EATS in two hours, I contacted the store, and they said they ran out of oatmeal cookies and I needed to contact Uber EATS for a refund. The store should’ve got me and given me another option or cancel the order, but they didn’t. More",Timmy,"Miami, FL",1,"January 19, 2024",Consumer Affairs
"I placed an order today for groceries to be delivered from Uber Eats. My groceries came and I always expect a wrong item to be accidentally picked up or something a little different than what I would have picked for myself. I figure it's the give and take from getting my groceries delivered for me. However, when I looked at the receipt the driver gave me versus the receipt that Uber Eats charged me, there was a very significant difference. Uber Eats charged me WAY more for the grocery items than what the cost of the items from the store actually were. I compared line by line and most items I was overcharged. More",Erica,"Aurora, CO",1,"January 17, 2024",Consumer Affairs
I ordered from Saks Donuts and they sent the wrong order and Uber refuse to reimburse me. I called Saks and she apologized and it was her fault and she would call Uber to let them know. They still won't refund.,Debra,"Houston, TX",1,"January 17, 2024",Consumer Affairs
This company took 60.00 of money out my kids' mouth cause I cancelled my order. This company told me I wasn't able to get my money refunded to feed my kids. I cancel my order and they still took my money. I encourage people not to use this app or do business with Uber eats. The customer service was dead unprofessional and the agents were very rude. I will post my review for everyone to see and know that they take your money and you never got the food. My kids are left straight because I didn't get the food or my money back.,Kenya,"Riverside, AL",1,"January 17, 2024",Consumer Affairs
