review,date,stars,name,source
"I'd like the convenience, but too many of the drivers are non-english speaking and the instructions to my community show the wrong entrance gate, so it is difficult to correct the driving instructions when communicating with them. The application does not give you the option of correcting. I have left notes in the app, but evidently no one reads them.","January 28, 2024",Rated 3 stars out of five stars,William Brookfield,Google Play Store
"Lately it's very common to wait over 2 hours for the food, while the order is passed on to 3 or 4 drivers before one finally cancels. What in the world is wrong with this app? If more than one driver passes on, it should auto cancel. Otherwise I'm waiting for food that I'm not sure if it will arrive, and then it never does. Literally not rendering the service. Happens constantly. HUGE problem. System needs a change.","January 20, 2024",Rated 1 stars out of five stars,Bastian H,Google Play Store
"THEY STEAL FROM YOU! I placed an order a while back and it was wrong. They were going to refund me, which never happened. On top of that, they took more money from me on tips when I didn't authorise it. I gave a $10 tip and instead they took $20, plus the original $10 plus another $7. Their customer service doesn't do anything besides give me the same automated message. Horrible service, my issue was never resolved so I cancelled my uber one. Do not recommend.","January 28, 2024",Rated 1 stars out of five stars,M Z.,Google Play Store
"The app works great. One thing I wish is that they would allow us to change the delivery address after an order is placed in the case that we made an error. Other than that, great app. It loads fast, the UI is responsive and intuitive. Great selection of restaurants. Great job from the mobile team at Uber.","January 26, 2024",Rated 5 stars out of five stars,paterson deshommes,Google Play Store
"Edit: they brought the feature back! Used to be amazing, but they just got rid of their best feature, the ability to search for dishes. You used to be able to search for a specific dish and find everyone who makes that dish and delivers to you and how much they charge. Now it's just a mediocre delivery app... why would you get rid of this feature???","January 18, 2024",Rated 5 stars out of five stars,Rufus Wright,Google Play Store
"I loved the new feature where you get 10 seconds to review your order after placing it. Really ""Looks good"". Everything seems perfect tech wise. There is one problem/situation where I have already waited a long time for my order and the order gets cancelled by the driver or the restaurant after accepting it. That's really disappointing. Overall everything's great. P.S Keep the discounts and promotions coming.","January 24, 2024",Rated 4 stars out of five stars,Tatva Shah,Google Play Store
Fairly easy to use but trying to find out what is happening with order or contacting someone is terrible. Drivers also seem to be rarely checked out by uber (different person turns up to who is registered) so security/safety issues. Some of the drivers are also pretty rubbish and constantly cancel once they accept leaving you waiting for ages for another delivery person and food then turns up cold.,"January 20, 2024",Rated 2 stars out of five stars,broomee c,Google Play Store
"Finally was tempted to try Uber eats instead of my usual delivery app due to the $25 discount. All I can say is definitely not worth it at zero price. After an hour and a half of waiting I canceled the order. Most of you would probably say that's not Uber's problem, but the thing is the delivery driver showed picking up the delivery nearly 45 minutes into the order and then just sat at the restaurant. It just kept showing that they're on their way. Very disappointing, probably won't try again.","January 27, 2024",Rated 1 stars out of five stars,Anthony Cox,Google Play Store
"I order on here every month and not a SINGLE time people have got my order completely correct, either it was food order or grocery or from convenience stores. When I have asked to make adjustments, now they are saying they adjusted a lot so they won't. The amount of stress from ordering in app and making it right is far more than my effort to go to the store to get the correct items at a much cheaper price at this point. I'm done with paying high fees to get wrong items and getting blamed.","January 28, 2024",Rated 1 stars out of five stars,Sophia Xiong,Google Play Store
"Very disappointed in this app. I've used it for a long time but the service fees keep increasing, sometimes up to $20 extra for a small 10 items order. Also, as I'm adding to my cart for promotions, the promotion disappears. Lastly, the prices for items are often higher than in store. Overall, it costs almost twice as much at times.","January 19, 2024",Rated 1 stars out of five stars,Kristi B,Google Play Store
"Ordered the food(Karlsruhe Ubereats), delivered to wrong address, and said they kept the food and went. We went to the address they mentioned and checked, NO FOOD! Contacted the customer service, and they refused to refund the order. Even didn't take into consideration that they delivered it to a different address, which was a very evident mistake. Very bad customer service.","January 26, 2024",Rated 1 stars out of five stars,Rufa Rafeek,Google Play Store
"When the customer service is automated, this app is fine. Horrible, terrible customer service if you actually need to speak to a human being. They seem to be scripted and unable to deviate from the script at all. It is maddening, like talking to an AI that can't remember what it said in the previous chat bubble. Not to mention the prices skyrocketing from menu prices, sometimes at a mark up of up to 50%, your food will always be either cold or poorly packaged and damaged. Just go out instead.","January 27, 2024",Rated 1 stars out of five stars,Jason L,Google Play Store
"Every order I have placed has been 30+ mins late. The drivers accept multiple orders at the same time which causes yours to be late. The last order I placed was going to take OVER AN HOUR AND A HALF to get to me because the ""driver"" was on foot? There is virtually no support, and even if you cancel an order before a driver was assigned, there's no getting your tip back. Terrible experience. Would give zero stars if I could.","January 27, 2024",Rated 1 stars out of five stars,Allie E,Google Play Store
