review,date,stars,name
Consistent bad quality food delivered. 6 months now all orders placed through uber eats has been like trash put together and delivered... I've deleted my account and will not continue to use this provider. They allow restaurants to send out bad quality and undercooked food to paying customers... shame on you uber! Vet your providers and hold them to a higher standard when it comes to human food consumptionServiceValueShippingReturnsQuality,"December 10th, 2023",1,Thomas B.
"Had an issue with the website freezing up/crashing, which resulted in a double order and double charge to my credit card. Uber eats would not do anything other than offer a $25 credit towards future orders. So I am out a $121 extra. I would avoid using this company and try doordash Instead Uber Eats literally doesn't care about their customers.Tip for consumers:I tried emailing their corporate officers and reaching out through LinkedIn. Nobody would reply except the horrible customer service who does nothingProducts used:I gave the extra food away so it wouldn't go to waste.ServiceValueShippingReturnsQuality","January 9th, 2024",1,Travis S.
"RIPPED OFF and NO Recourse! Absolute Goat-Rope. Yet another business hiding behind COVID-19 for poor customer service. I was overcharged for my order, but have yet to receive a refund. I ordered and paid for two pizzas, but only got one. On top of that, the delivery arrived 35 minutes after the time UberEATS' ‘estimated' time of delivery. To make matters worse, there is ZERO customer support. No call center, no chat... nothing. If/when my refund hits, that App is going in the garbage where it belongs.Tip for consumers:Although DoorDash’s isn’t a gold standard service, its customer service is markedly better than UberEATS. During the instances in which there’ve been discrepancies in charges, DoorDash has done a much better job of responding to them and issuing refunds in a far more timely manner. In addition, DoorDash’s estimated times of delivery are much more accurate than Uber’s. I get the impression UberEATS just doesn’t care. They get their payment and they’re done with you. Well, I’m done, too. BEWARE.ServiceValueReturnsQuality","January 28th, 2021",1,John S.
"This is not my first issue with Uber Eats, but it us my last. The order was all wrong missing strawberry shake, 6 pack of cinnamon rolls, straw, napkins. Sandwiches were wrong and trying to complain in the Uber Eats app it said order wasn't eligible for refund. When I order something and it doesn't show up, or isn't the way it was ordered I want you to make it right, I spent 60.00 to get messed over. Will never use Uber Eats again. Pictures attachedTip for consumers:This is not my first issue with Uber Eats, but it us my last. The order was all wrong missing strawberry shake, 6 pack of cinnamon rolls, straw, napkins. Sandwiches were wrong and trying to complain in the Uber Eats app it said order wasn't eligible for refund. When I order something and it doesn't show up, or isn't the way it was ordered I want you to make it right, I spent 60.00 to get messed over. Will never use Uber Eats again. Pictures attachedProducts used:FoodServiceValueShippingReturnsQuality","October 16th, 2023",1,Howard C.
"Company filled with ThievesThey Are absolutely uselessMy order was never delivered but i was still charged for it, Tembo the driver didn't even try to make contact i called their Call Centre and spoke to the manger Hamad Who also has no customer experience what so ever, he said i should wait 24 hours for a response its been 3 days now and every time i call he is either unavailable or not inDisgusting Customer Service basically stealing from your customers","August 4th, 2020",1,James n.
"I ordered medicine from local walgreens for my sick child. I have no car and in a state I'm not originally from. Ordering was easy...10 min before the delivery was due the driver canceled my order... no explanation, and for any reason the driver can cancel. I literally had three items on order.So I wasted almost an hour waiting for medicine that would never come. Contacted customer service and their resolution was to give the driver a bad rating. NOT RELIABLE","September 18th, 2023",1,Jaeda G.
I applied a code They sent to my email. Otherwise I would not have used it. The code was invalid they say but they sent the food anyway. I tried to cancel immediately. Literally seconds after send it and they would not allow it. I am single and I live alone and ended up paying over 70$ To get some Popeyes chicken. I cannot believe I was stupid enough to think they would honor their coupon based on all these bad reviews. One of the worst companies I've ever done business with and I will be deleting the application immediately after this review.ServiceValueReturnsQuality,"February 13th, 2021",1,Wayne B.
"This was my first time using a food delivery app and tried Uber Eats in Milwaukee. Ordered Indian food from Cafe India. I was 9 minutes down the road. The driver took over an hour, delivered to the wrong address, and hung up on calls many times. Food was stolen as he left it at a gas station! The driver did not speak English and was very rude. NEVER would I use or recommend Uber Eats. Just a horrible experience of lies and incompetence!ServiceValueShippingReturns","October 10th, 2023",1,jeff g.
"Horrible service, scamming company and drivers! The driver pretended to not to hear me over the phone, went to a completely different street and neighbourhood then completed with a charge. Uber eats, scammers as they are, won't refund the grocery shopping! I will never order with them again and I will tell anyone I can to stir clear of this fraudulent company!Tip for consumers:Uber eats is a scam company that should be avoided at all costs!Products used:None were serviced to meServiceValueShippingQuality","November 29th, 2023",1,Karine S.
"Normally I'm ok using the app to contact customer service, but not when I have an issue that requires immediate assistance. Not offering a phone support line is cheap, unethical, and very lazy on Uber's part (there is a number if you search the net wide... and I mean wide, but it's an answering service that instructs you to use the app then hangs up on you). Email - no reply also. Crucial components of my order were missing. Not sure if I'll be getting a refund, hours later still waiting to hear back from their not so helpful app ""support"". Very UNenjoyable meals, lacking the very thing that makes them, and no way to get help on the spot when I needed it. Instead, left to source food elsewhere or eat substandard, full-priced meals, whilst feeling ripped off without suitable recourse.ServiceValueShippingReturnsQuality","August 12th, 2021",1,Jackie G.
