review,date,stars,name,source,title
"PLEASANT UNEXPECTED CUSTOMER SERVICEI gave Uber Eats a go after being totally fed up with poor service from the opposition. I was very pleasantly surprised. I ordered a Chinese meal, mixed vegetables and singapore vegetarian noodles. My wife doesn't like prawns, so the veggie option should guarantee that. I also asked for them to be chili free The noodles had 3 prawns in them, and were a little too spicy. The veggies weren't as varied as I am used to, and a little underdone for my liking, so a little disappointing, the rest of the meal was perfectly fine, and I ate my wifes noodl... Read more",2024-01-17T06:21:07.000Z,5,evelweevil,productreview,PLEASANT UNEXPECTED CUSTOMER SERVICE
UberEats or shall be known as UberEats Money is the best delivery service I have ever seen!!!UberEats have been delivering our orders on time time ! This app has been extremely amazing as our delivery services has been. UberEats is definitely amazing and worth the amount. Although buying the food in person is definitely much cheaper. Overall it was the best service.Show details,2023-12-15T00:15:44.000Z,5,Cruella Devil,productreview,UberEats or shall be known as UberEats Money is the best delivery service I have ever seen!!!
"Delivery delaysWe were provided with a final time for the delivery when the order was picked up but ended up with the time getting longer and longer as the driver took another order and delivered it before ours. The time it took the driver to deliver to deliver the first order and drive to us was the difference between our original delivery time and the actual delivery time. I expect some slight reasonable change in time but not this amountShow details
Value for Money",2023-12-09T07:38:46.000Z,5,Car,productreview,Delivery delays
"Uber eat fast and easyFast and easy
I would share my code both we get discount
[Code Removed]",2023-11-26T01:12:39.000Z,5,You,productreview,Uber eat fast and easy
"Used uber eats for the first timeExcellent company for food service online.
I recommend people to use.Show details",2023-10-12T02:28:37.000Z,5,Fabian G.,productreview,Used uber eats for the first time
Better when in the cityWe moved to the city few years ago and since then uber eats has been alot better then the outer suburbs. You really got to live in the inner city to get a good experience. Thanks Uber eats.Show details,2023-09-25T14:43:14.000Z,5,alexwillamsrains,productreview,Better when in the city
"UbereatFast and good
eats-5uhnlzu9gv
Friends code u and me both get discount
eats-5uhnlzu9gv",2023-09-11T08:28:13.000Z,5,Judy L.,productreview,Ubereat
"Best app in melbourne for deliveriesmenu log is the worst of the worst, deliveroo is alright, but uber eats has been the best for me in melbourne!! always timely, customer service response is fast aswell as refund action. I use uber eats atleast once a week and they have never screwed my order the last two years being here. I think most drivers that are signed with uber eats are probably payed and treated better than the drivers for menu log or deliveroo. because holy fck i can not get over how bad menu log is guys. literally never been so enraged from crappy service, refunding, and wait time of 3+ hoursShow details",2022-12-16T10:13:43.000Z,5,Leanne,productreview,Best app in melbourne for deliveries
"CoolCool driver on time every time ok ok ok okShow details
Value for Money",2022-10-10T05:33:30.000Z,5,terry,productreview,Cool
Fast delivery!Fast delivery and meals still hot. 100% better choice of restaurants over competitors as well. We've used them twice and will continue to do so.Show details,2022-08-08T02:49:37.000Z,5,Marie,productreview,Fast delivery!
"That's PerfectExcellent service by riders, proper and correct order delivered here.Show details",2022-08-04T10:02:13.000Z,5,Martin J.,productreview,That's Perfect
"My Rating as a Uber Eats Delivery DriverNothing but praise to Uber Eats since commencing with them in January 2022. I gain personal satisfaction through my interactions with both customers and merchants. The Uber Eats App is excellent and easy to use from the perspective of a delivery person. Well designed and constructive in all aspects including a functional and highly effective GPS Navigation System. In my opinion Uber is far superior when compared to Menulog, Deliveroo and Doordash. Many opportunities exist to earn good money with Uber Eats, in particular, using the Boost system and regular Promotions. I encourage all persons no matter there age to join Uber Eats as a delivery partner. Uber is well deserving of a 5 Star Rating.Show details",2022-04-27T22:51:33.000Z,5,scorpio88,productreview,My Rating as a Uber Eats Delivery Driver
"better than menulogUber Eats is very good in terms of their refund service and policy, i have found that they are much better than Menulog which is by the way the worst service ever.
Only once i have been told an order has been delivered but was never actually delivered, i immediately received a refund, when this occurred on Menulog i was interrogated and never got my money back.
Uber Eats app is smooth and shows you the name of the driver and what vehicle they're in, and there is also a cool tracker.Show details
Value for Money",2022-03-04T04:32:58.000Z,5,Pete Z.,productreview,better than menulog
"Uber Eats now usable in the Dandenong RangesUber Eats used to be great - prompt delivery, no troubles at all. In the past six months though, it's become unusable in the Dandenong Ranges; my last few orders have been cancelled some time *after* they were due to be delivered, presumably because there were no drivers available. I've entirely stopped using them, because I have a young family to feed, so I need reliable service.Show details",2022-02-21T11:35:57.000Z,5,Duncan Bayne,productreview,Uber Eats now usable in the Dandenong Ranges
"Delivered in reasonable time - food still hot!Placed the order and it was delivered in under 30 minutes. Food was unmolested, bag unopened and I was kept informed of the package progress from collection to delivery. This is a service worth paying for.Show details",2021-10-30T06:04:50.000Z,5,David,productreview,Delivered in reasonable time - food still hot!
so many complaints from so many lazy peopleI never have a problem when ordering any sort of takeaway dosent matter where i order it it is always delivered piping hot the order is always complete & delivered within 15 - 20 mins. i dont have a problem because iam not lazy i go to the shop myself & order it & then drive home & enjoy piping hot food without any problems. So many complaints from so many lazy peopleShow details,2019-04-05T04:11:08.000Z,5,george,productreview,so many complaints from so many lazy people
"UberEats driver experienceI have delivered to almost 500 people across Perth and I have never come across to a rude or unsatisfied customer. But, I can tell you this much from my experience to help you (customer) and us (delivery drivers):
1. Make sure your contact details are up to date
2. Make sure your phone is charged and on you
3. Make sure your delivery address is correct
4. Give notes to help delivery drivers to find you
5. Turn your light on because that helps delivery drivers to see your house number at night time
7. Check your order before finalising
8. Chec... Read more",2019-03-16T17:30:05.000Z,5,ARRI,productreview,UberEats driver experience
"1st time user and very impressed!!!So my first time using Uber EATS and I was more than impressed, placed my order 5.22pm with no hassel whatsoever which was a win to start with and food was at my front door by 5.49pm pipping hot and perfect. I was sceptical and honestly expected something to not go right but was blown away at everything being perfect which was just what I needed with sick kids at home! Happy Mumma here!!!Show details",2019-02-26T05:14:56.000Z,5,Ally,productreview,1st time user and very impressed!!!
Amazing ServiceAfter reading all the reviews I have to say that UberEATS is amazing here in Brisbane. I am not sure why such a bad review for both UberEATS and Deliveroo but here in Brisbane both are amazing and any issues I have ever had (not major and not frequent) UberEATS has always resolved quickly and their delivery staff are always polite and friendly. Thank you UberEATSShow details,2019-01-27T07:44:01.000Z,5,Melanie.C,productreview,Amazing Service
"Never had a bad experienceUber Eats in our area is great! Orders generally arrive on time - never short of drivers, and any errors have been quickly rectified. After experiencing the terrible service of some other food delivery companies, we will exclusively use Uber Eats moving forwardShow details",2019-01-15T03:17:50.000Z,5,Sarah B,productreview,Never had a bad experience
Fantastic ServiceI ordered from Grill'd through Uber Eats. Probably one of the best burgers I've eaten. Excellent service from Uber too!Show details,2018-12-06T08:10:06.000Z,5,happycustomer,productreview,Fantastic Service
"Great service from Zai StaceyFood arrives hot , and quickly . Reliable uber eats driver.and service with a smile. Highly recommend him for Rockingham W.AShow details",2018-11-05T05:10:12.000Z,5,R.M,productreview,Great service from Zai Stacey
AwesomeHave been in hospital so I’m not welland in able to drive very fast n good experience with maccas delivery:)Show details,2018-10-03T00:10:05.000Z,5,Jess,productreview,Awesome
"Johnny Boys Pizza - ExcellentRegarding specifically just Johnny Boys: Fast service, hot food, decent quality and a good prices. The deliverer was nice and quick - no silly small chat.Show details",2018-08-10T11:47:41.000Z,5,Teehee,productreview,Johnny Boys Pizza - Excellent
"Fantastic, easy service for time-poor peopleI order UberEats for breakfast or lunch a few times a week at my workplace. The time estimates, rolling order updates and map tracking are amazing features which makes me choose Uber over other food delivery services such as Menulog and EatNow. All of the delivery drivers bring the food up to my office and it's always hot and fresh. I will definitely continue to use UberEats.Show details",2018-08-02T01:50:14.000Z,5,AlleyEd,productreview,"Fantastic, easy service for time-poor people"
"Nice serviceHard workers. Food Always on time, Are used them a couple of times a week. Always really professional and lovely people, thanks for feeding me through my holidays. Thanks sShow details",2018-07-16T11:00:02.000Z,5,Happy customer,productreview,Nice service
"What a time to be alive!What a time to be alive! Treating myself to a trip down memory lane, reminiscing my recent trip to Japan. I <3 Udon
So happy I don't even have to leave my house! Kampai!Show details",2018-07-11T09:40:08.000Z,5,Maddiobi,productreview,What a time to be alive!
Hot fresh foodGood was hot and fresh. Only took 30 minutes. I am in the port Adelaide area. Would definitely use them again!Show details,2018-06-30T04:40:09.000Z,5,Nic,productreview,Hot fresh food
"Fast deliveryUber eats is probably the best out of the food delivery services, quick, good selection and warm food. Always arive before 30 minutes up in the north sideShow details",2018-06-27T01:30:07.000Z,5,Nicole,productreview,Fast delivery
"Thumbs upQuick, fast and easy to use. Recommended for people to use on those lazy nights when you don't feel like cooking.Show details",2018-06-26T06:51:01.000Z,5,Bianca,productreview,Thumbs up
First time user ... fantastic service!Food arrived still warm in under 12 minutes. Lovely driver too. Was a bit worried after reading all the negative reviews but couldn't have asked for a better experience ... well done Uber Eats!!Show details,2018-06-23T09:40:11.000Z,5,Jenny,productreview,First time user ... fantastic service!
"Always on time ànd Hot foodUber eats is best and much better than others.
Drivers are always on time and food is mostly Hot.
Would recommend to everyone seeking delivery services.Show details",2018-06-19T08:10:03.000Z,5,Max,productreview,Always on time ànd Hot food
"Food Delivered In The StormHappy that UberEats has finally reached my area! Just wish there were more options.
So greatful that I didn’t have to leave my house in the rain. Our meal was delivered on time and we also had a nice delivery man. Would recommendShow details",2018-06-17T22:42:26.000Z,5,Emma,productreview,Food Delivered In The Storm
"Everything I Expected!I'm not one to write reviews often but I did want to provide a review of my experience this time to provide a different perspective from the overwhelming number of negative reviews UberEATS seems to be getting.
As a preface, I use food delivery services frequently when I am in China and South Korea where it is common, cheap and fast. In a country like Australia however, where services like this are only just starting up and residences/local businesses are at a much lower density, I have always scaled down my expectations appropriately.
S... Read more",2018-05-10T05:25:33.000Z,5,Angelica,productreview,Everything I Expected!
Very convenient but to dangerous when on a dietNever really had an issue with ubereats both with the food and delivery. I find that its just to convenient sometimes. So many options.Show details,2018-05-01T09:40:08.000Z,5,Jones G,productreview,Very convenient but to dangerous when on a diet
“How would I LIVE without you??”Honestly what the hell did I do before Uber eats - love this service and options - no complaint happy and loyal customerShow details,2018-04-15T22:07:24.000Z,5,Rebecca,productreview,“How would I LIVE without you??”
"Original concernsSo the driver sent me an SMS to complain that Melbourne Traffic was a problem, and then that he couldn't get up in the lift.....but having popped the anticipated Green Thai Curry and rice in the microwave for 1 minute - I can promise it was wonderful - thank you Smile Thai Cuisine, it was amazing. Having traveled the world you certainly hit the spot....keep up the good workShow details",2018-02-14T09:10:06.000Z,5,Sheena,productreview,Original concerns
